code,libelle,type
0,Organisme de placement collectif en valeurs mobilières sans personnalité morale,1
1,Entrepreneur individuel,1
2,Groupement de droit privé non doté de la personnalité morale,1
3,Personne morale de droit étranger,1
4,Personne morale de droit public soumise au droit commercial,1
5,Société commerciale,1
6,Autre personne morale immatriculée au RCS,1
7,Personne morale et organisme soumis au droit administratif,1
8,Organisme privé spécialisé,1
9,Groupement de droit privé,1
00,Organisme de placement collectif en valeurs mobilières sans personnalité morale,2
10,Entrepreneur individuel,2
21,Indivision,2
22,Société créée de fait,2
23,Société en participation,2
24,Fiducie ,2
27,Paroisse hors zone concordataire,2
28,Assujetti unique à la TVA,2
29,Autre groupement de droit privé non doté de la personnalité morale,2
31,"Personne morale de droit étranger, immatriculée au RCS (registre du commerce et des sociétés)",2
32,"Personne morale de droit étranger, non immatriculée au RCS",2
41,Etablissement public ou régie à caractère industriel ou commercial,2
51,Société coopérative commerciale particulière,2
52,Société en nom collectif,2
53,Société en commandite,2
54,Société à responsabilité limitée (SARL),2
55,Société anonyme à conseil d'administration,2
56,Société anonyme à directoire,2
57,Société par actions simplifiée,2
58,Société européenne ,2
61,Caisse d'épargne et de prévoyance,2
62,Groupement d'intérêt économique,2
63,Société coopérative agricole,2
64,Société d'assurance mutuelle,2
65,Société civile,2
69,Autre personne morale de droit privé inscrite au registre du commerce et des sociétés,2
71,Administration de l'état,2
72,Collectivité territoriale,2
73,Etablissement public administratif,2
74,Autre personne morale de droit public administratif,2
81,Organisme gérant un régime de protection sociale à adhésion obligatoire,2
82,Organisme mutualiste,2
83,Comité d'entreprise,2
84,Organisme professionnel,2
85,Organisme de retraite à adhésion non obligatoire,2
91,Syndicat de propriétaires,2
92,Association loi 1901 ou assimilé,2
93,Fondation,2
99,Autre personne morale de droit privé,2
0000,Organisme de placement collectif en valeurs mobilières sans personnalité morale,3
1000,Entrepreneur individuel,3
2110,Indivision entre personnes physiques ,3
2120,Indivision avec personne morale ,3
2210,Société créée de fait entre personnes physiques ,3
2220,Société créée de fait avec personne morale ,3
2310,Société en participation entre personnes physiques ,3
2320,Société en participation avec personne morale ,3
2385,Société en participation de professions libérales ,3
2400,Fiducie ,3
2700,Paroisse hors zone concordataire ,3
2800,Assujetti unique à la TVA,3
2900,Autre groupement de droit privé non doté de la personnalité morale ,3
3110,Représentation ou agence commerciale d'état ou organisme public étranger immatriculé au RCS ,3
3120,Société commerciale étrangère immatriculée au RCS,3
3205,Organisation internationale ,3
3210,"État, collectivité ou établissement public étranger",3
3220,Société étrangère non immatriculée au RCS ,3
3290,Autre personne morale de droit étranger ,3
4110,Établissement public national à caractère industriel ou commercial doté d'un comptable public ,3
4120,Établissement public national à caractère industriel ou commercial non doté d'un comptable public ,3
4130,Exploitant public ,3
4140,Établissement public local à caractère industriel ou commercial ,3
4150,Régie d'une collectivité locale à caractère industriel ou commercial ,3
4160,Institution Banque de France ,3
5191,Société de caution mutuelle ,3
5192,Société coopérative de banque populaire ,3
5193,Caisse de crédit maritime mutuel ,3
5194,Caisse (fédérale) de crédit mutuel ,3
5195,Association coopérative inscrite (droit local Alsace Moselle) ,3
5196,Caisse d'épargne et de prévoyance à forme coopérative ,3
5202,Société en nom collectif ,3
5203,Société en nom collectif coopérative ,3
5306,Société en commandite simple ,3
5307,Société en commandite simple coopérative ,3
5308,Société en commandite par actions ,3
