code,libelle,niveau
A,"Agriculture, sylviculture et pêche",section
B,Industries extractives,section
C,Industrie manufacturière,section
D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",section
E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",section
F,Construction,section
G,Commerce ; réparation d'automobiles et de motocycles,section
H,Transports et entreposage,section
I,Hébergement et restauration,section
J,Information et communication,section
K,Activités financières et d'assurance,section
L,Activités immobilières,section
M,"Activités spécialisées, scientifiques et techniques",section
N,Activités de services administratifs et de soutien,section
O,Administration publique,section
P,Enseignement,section
Q,Santé humaine et action sociale,section
R,"Arts, spectacles et activités récréatives",section
S,Autres activités de services,section
T,Activités des ménages en tant qu'employeurs ; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre,section
U,Activités extra-territoriales,section
1,"Culture et production animale, chasse et services annexes",division
2,Sylviculture et exploitation forestière,division
3,Pêche et aquaculture,division
5,Extraction de houille et de lignite,division
6,Extraction d'hydrocarbures,division
7,Extraction de minerais métalliques,division
8,Autres industries extractives,division
9,Services de soutien aux industries extractives,division
10,Industries alimentaires,division
11,Fabrication de boissons,division
12,Fabrication de produits à base de tabac,division
13,Fabrication de textiles,division
14,Industrie de l'habillement,division
15,Industrie du cuir et de la chaussure,division
16,"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie",division
17,Industrie du papier et du carton,division
18,Imprimerie et reproduction d'enregistrements,division
19,Cokéfaction et raffinage,division
20,Industrie chimique,division
21,Industrie pharmaceutique,division
22,Fabrication de produits en caoutchouc et en plastique,division
23,Fabrication d'autres produits minéraux non métalliques,division
24,Métallurgie,division
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",division
26,"Fabrication de produits informatiques, électroniques et optiques",division
27,Fabrication d'équipements électriques,division
28,Fabrication de machines et équipements n.c.a.,division
29,Industrie automobile,division
30,Fabrication d'autres matériels de transport,division
31,Fabrication de meubles,division
32,Autres industries manufacturières,division
33,Réparation et installation de machines et d'équipements,division
35,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",division
36,"Captage, traitement et distribution d'eau",division
37,Collecte et traitement des eaux usées,division
38,"Collecte, traitement et élimination des déchets ; récupération",division
39,Dépollution et autres services de gestion des déchets,division
41,Construction de bâtiments,division
42,Génie civil,division
43,Travaux de construction spécialisés,division
45,Commerce et réparation d'automobiles et de motocycles,division
46,"Commerce de gros, à l'exception des automobiles et des motocycles",division
47,"Commerce de détail, à l'exception des automobiles et des motocycles",division
49,Transports terrestres et transport par conduites,division
50,Transports par eau,division
51,Transports aériens,division
52,Entreposage et services auxiliaires des transports,division
53,Activités de poste et de courrier,division
55,Hébergement,division
56,Restauration,division
58,Édition,division
59,"Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale",division
60,Programmation et diffusion,division
